cotacaoVenda,dataHoraCotacao,tipoBoletim
"2,49821",2010-01-04 09:23:00.0,Abertura
"2,49196",2010-01-04 09:30:00.0,Intermediário
"2,48896",2010-01-04 10:00:00.0,Intermediário
"2,49189",2010-01-04 10:30:00.0,Intermediário
"2,49085",2010-01-04 11:00:00.0,Intermediário
"2,49373",2010-01-04 11:30:00.0,Intermediário
"2,49587",2010-01-04 12:00:00.0,Intermediário
"2,49506",2010-01-04 12:30:00.0,Intermediário
"2,49168",2010-01-04 13:00:00.0,Intermediário
"2,49039",2010-01-04 13:30:00.0,Intermediário
"2,49073",2010-01-04 14:00:00.0,Intermediário
"2,48935",2010-01-04 14:30:00.0,Intermediário
"2,48312",2010-01-04 15:00:00.0,Intermediário
"2,4837",2010-01-04 15:30:00.0,Intermediário
"2,48244",2010-01-04 16:00:00.0,Intermediário
"2,4807",2010-01-04 16:30:00.0,Fechamento Interbancário
"2,48647",2010-01-04 17:37:00.0,Fechamento
"2,48814",2010-01-05 09:22:00.0,Abertura
"2,48352",2010-01-05 09:30:00.0,Intermediário
"2,48439",2010-01-05 10:00:00.0,Intermediário
"2,4843",2010-01-05 10:30:00.0,Intermediário
"2,47933",2010-01-05 11:00:00.0,Intermediário
"2,48327",2010-01-05 11:30:00.0,Intermediário
"2,4839",2010-01-05 12:00:00.0,Intermediário
"2,48846",2010-01-05 12:30:00.0,Intermediário
"2,48613",2010-01-05 13:00:00.0,Intermediário
"2,4901",2010-01-05 13:30:00.0,Intermediário
"2,48863",2010-01-05 14:00:00.0,Intermediário
"2,48497",2010-01-05 14:30:00.0,Intermediário
"2,49234",2010-01-05 15:00:00.0,Intermediário
"2,48916",2010-01-05 15:30:00.0,Intermediário
"2,48857",2010-01-05 16:00:00.0,Intermediário
"2,4884",2010-01-05 16:30:00.0,Fechamento Interbancário
"2,47647",2010-01-05 17:35:00.0,Fechamento
"2,49838",2010-01-06 09:22:00.0,Abertura
"2,49342",2010-01-06 09:30:00.0,Intermediário
"2,49142",2010-01-06 10:00:00.0,Intermediário
"2,49377",2010-01-06 10:30:00.0,Intermediário
"2,48662",2010-01-06 11:00:00.0,Intermediário
"2,49241",2010-01-06 11:30:00.0,Intermediário
"2,4912",2010-01-06 12:00:00.0,Intermediário
"2,49355",2010-01-06 12:30:00.0,Intermediário
"2,49042",2010-01-06 13:00:00.0,Intermediário
"2,49062",2010-01-06 13:30:00.0,Intermediário
"2,49183",2010-01-06 14:00:00.0,Intermediário
"2,49293",2010-01-06 14:30:00.0,Intermediário
"2,49035",2010-01-06 15:00:00.0,Intermediário
"2,49252",2010-01-06 15:30:00.0,Intermediário
"2,49642",2010-01-06 16:00:00.0,Intermediário
"2,50218",2010-01-06 16:30:00.0,Fechamento Interbancário
"2,49455",2010-01-06 17:34:00.0,Fechamento
"2,50292",2010-01-07 09:24:00.0,Abertura
"2,49681",2010-01-07 09:30:00.0,Intermediário
"2,49448",2010-01-07 10:00:00.0,Intermediário
"2,49749",2010-01-07 10:30:00.0,Intermediário
"2,49725",2010-01-07 11:00:00.0,Intermediário
"2,50041",2010-01-07 11:30:00.0,Intermediário
"2,49994",2010-01-07 12:00:00.0,Intermediário
"2,496",2010-01-07 12:30:00.0,Intermediário
"2,49605",2010-01-07 13:00:00.0,Intermediário
"2,49711",2010-01-07 13:30:00.0,Intermediário
"2,49148",2010-01-07 14:00:00.0,Intermediário
"2,48799",2010-01-07 14:30:00.0,Intermediário
"2,49374",2010-01-07 15:00:00.0,Intermediário
"2,49616",2010-01-07 15:30:00.0,Intermediário
"2,49559",2010-01-07 16:00:00.0,Intermediário
"2,49783",2010-01-07 16:30:00.0,Fechamento Interbancário
"2,49253",2010-01-07 17:37:00.0,Fechamento
"2,51089",2010-01-08 09:22:00.0,Abertura
"2,50569",2010-01-08 09:30:00.0,Intermediário
"2,50206",2010-01-08 10:00:00.0,Intermediário
"2,50118",2010-01-08 10:30:00.0,Intermediário
"2,49756",2010-01-08 11:00:00.0,Intermediário
"2,50894",2010-01-08 11:30:00.0,Intermediário
"2,50126",2010-01-08 12:00:00.0,Intermediário
"2,49403",2010-01-08 12:30:00.0,Intermediário
"2,49085",2010-01-08 13:00:00.0,Intermediário
"2,48487",2010-01-08 13:30:00.0,Intermediário
"2,48851",2010-01-08 14:00:00.0,Intermediário
"2,48886",2010-01-08 14:30:00.0,Intermediário
"2,49082",2010-01-08 15:00:00.0,Intermediário
"2,49457",2010-01-08 15:30:00.0,Intermediário
"2,49138",2010-01-08 16:00:00.0,Intermediário
"2,49559",2010-01-08 16:30:00.0,Fechamento Interbancário
"2,50858",2010-01-08 17:33:00.0,Fechamento
"2,50848",2010-01-11 09:22:00.0,Abertura
"2,50405",2010-01-11 09:30:00.0,Intermediário
"2,50239",2010-01-11 10:00:00.0,Intermediário
"2,50344",2010-01-11 10:30:00.0,Intermediário
"2,50541",2010-01-11 11:00:00.0,Intermediário
"2,50906",2010-01-11 11:30:00.0,Intermediário
"2,5125",2010-01-11 12:00:00.0,Intermediário
"2,51826",2010-01-11 12:30:00.0,Intermediário
"2,51725",2010-01-11 13:00:00.0,Intermediário
"2,51681",2010-01-11 13:30:00.0,Intermediário
"2,5225",2010-01-11 14:00:00.0,Intermediário
"2,52248",2010-01-11 14:30:00.0,Intermediário
"2,519",2010-01-11 15:00:00.0,Intermediário
"2,52172",2010-01-11 15:30:00.0,Intermediário
"2,52158",2010-01-11 16:00:00.0,Intermediário
"2,52041",2010-01-11 16:30:00.0,Fechamento Interbancário
"2,51504",2010-01-11 17:36:00.0,Fechamento
"2,53607",2010-01-12 09:22:00.0,Abertura
"2,52707",2010-01-12 09:30:00.0,Intermediário
"2,53107",2010-01-12 10:00:00.0,Intermediário
"2,53408",2010-01-12 10:30:00.0,Intermediário
"2,53336",2010-01-12 11:00:00.0,Intermediário
"2,52446",2010-01-12 11:30:00.0,Intermediário
"2,52392",2010-01-12 12:00:00.0,Intermediário
"2,52877",2010-01-12 12:30:00.0,Intermediário
"2,53194",2010-01-12 13:00:00.0,Intermediário
"2,52653",2010-01-12 13:30:00.0,Intermediário
"2,52928",2010-01-12 14:00:00.0,Intermediário
"2,52935",2010-01-12 14:30:00.0,Intermediário
"2,52854",2010-01-12 15:00:00.0,Intermediário
"2,53058",2010-01-12 15:30:00.0,Intermediário
"2,53582",2010-01-12 16:00:00.0,Intermediário
"2,53278",2010-01-12 16:30:00.0,Fechamento Interbancário
"2,52684",2010-01-12 17:37:00.0,Fechamento
"2,53955",2010-01-13 09:26:00.0,Abertura
"2,53474",2010-01-13 09:30:00.0,Intermediário
"2,53282",2010-01-13 10:00:00.0,Intermediário
"2,53579",2010-01-13 10:30:00.0,Intermediário
"2,53447",2010-01-13 11:00:00.0,Intermediário
"2,53699",2010-01-13 11:30:00.0,Intermediário
"2,53709",2010-01-13 12:00:00.0,Intermediário
"2,53487",2010-01-13 12:30:00.0,Intermediário
"2,53808",2010-01-13 13:00:00.0,Intermediário
"2,52985",2010-01-13 13:30:00.0,Intermediário
"2,53617",2010-01-13 14:00:00.0,Intermediário
"2,5397",2010-01-13 14:30:00.0,Intermediário
"2,53746",2010-01-13 15:00:00.0,Intermediário
"2,54161",2010-01-13 15:30:00.0,Intermediário
"2,55196",2010-01-13 16:00:00.0,Intermediário
"2,5508",2010-01-13 16:30:00.0,Fechamento Interbancário
"2,5279",2010-01-13 17:34:00.0,Fechamento
"2,56272",2010-01-14 09:26:00.0,Abertura
"2,5557",2010-01-14 09:30:00.0,Intermediário
"2,55483",2010-01-14 10:00:00.0,Intermediário
"2,5631",2010-01-14 10:30:00.0,Intermediário
"2,56095",2010-01-14 11:00:00.0,Intermediário
"2,55948",2010-01-14 11:30:00.0,Intermediário
"2,55799",2010-01-14 12:00:00.0,Intermediário
"2,55787",2010-01-14 12:30:00.0,Intermediário
"2,55671",2010-01-14 13:00:00.0,Intermediário
"2,55784",2010-01-14 13:30:00.0,Intermediário
"2,55611",2010-01-14 14:00:00.0,Intermediário
"2,56577",2010-01-14 14:30:00.0,Intermediário
"2,56111",2010-01-14 15:00:00.0,Intermediário
"2,5624",2010-01-14 15:30:00.0,Intermediário
"2,55768",2010-01-14 16:00:00.0,Intermediário
"2,5608",2010-01-14 16:30:00.0,Fechamento Interbancário
"2,56051",2010-01-14 17:42:00.0,Fechamento
"2,55325",2010-01-15 09:23:00.0,Abertura
"2,54713",2010-01-15 09:30:00.0,Intermediário
"2,54577",2010-01-15 10:00:00.0,Intermediário
"2,54229",2010-01-15 10:30:00.0,Intermediário
"2,54526",2010-01-15 11:00:00.0,Intermediário
"2,54576",2010-01-15 11:30:00.0,Intermediário
"2,54296",2010-01-15 12:00:00.0,Intermediário
"2,53931",2010-01-15 12:30:00.0,Intermediário
"2,53716",2010-01-15 13:00:00.0,Intermediário
"2,5428",2010-01-15 13:30:00.0,Intermediário
"2,54189",2010-01-15 14:00:00.0,Intermediário
"2,54103",2010-01-15 14:30:00.0,Intermediário
"2,5429",2010-01-15 15:00:00.0,Intermediário
"2,54716",2010-01-15 15:30:00.0,Intermediário
"2,54844",2010-01-15 16:00:00.0,Intermediário
"2,54778",2010-01-15 16:30:00.0,Fechamento Interbancário
"2,54649",2010-01-15 17:40:00.0,Fechamento
"2,5543",2010-01-18 09:26:00.0,Abertura
"2,54706",2010-01-18 09:30:00.0,Intermediário
"2,54673",2010-01-18 10:00:00.0,Intermediário
"2,54448",2010-01-18 10:30:00.0,Intermediário
"2,54833",2010-01-18 11:00:00.0,Intermediário
"2,553",2010-01-18 11:30:00.0,Intermediário
"2,5475",2010-01-18 12:00:00.0,Intermediário
"2,54975",2010-01-18 12:30:00.0,Intermediário
"2,54138",2010-01-18 13:00:00.0,Intermediário
"2,54161",2010-01-18 13:30:00.0,Intermediário
"2,54021",2010-01-18 14:00:00.0,Intermediário
"2,5429",2010-01-18 14:30:00.0,Intermediário
"2,54307",2010-01-18 15:00:00.0,Intermediário
"2,54648",2010-01-18 15:30:00.0,Intermediário
"2,54658",2010-01-18 16:00:00.0,Intermediário
"2,54402",2010-01-18 16:30:00.0,Fechamento Interbancário
"2,55136",2010-01-18 17:33:00.0,Fechamento
"2,54789",2010-01-19 09:24:00.0,Abertura
"2,53926",2010-01-19 09:30:00.0,Intermediário
"2,54129",2010-01-19 10:00:00.0,Intermediário
"2,54201",2010-01-19 10:30:00.0,Intermediário
"2,53995",2010-01-19 11:00:00.0,Intermediário
"2,53879",2010-01-19 11:30:00.0,Intermediário
"2,53687",2010-01-19 12:00:00.0,Intermediário
"2,54026",2010-01-19 12:30:00.0,Intermediário
"2,54147",2010-01-19 13:00:00.0,Intermediário
"2,5345",2010-01-19 13:30:00.0,Intermediário
"2,53577",2010-01-19 14:00:00.0,Intermediário
"2,53259",2010-01-19 14:30:00.0,Intermediário
"2,5356",2010-01-19 15:00:00.0,Intermediário
"2,53354",2010-01-19 15:30:00.0,Intermediário
"2,5326",2010-01-19 16:00:00.0,Intermediário
"2,5319",2010-01-19 16:30:00.0,Fechamento Interbancário
"2,53576",2010-01-19 17:36:00.0,Fechamento
"2,53487",2010-01-20 09:21:00.0,Abertura
"2,52881",2010-01-20 09:30:00.0,Intermediário
"2,52241",2010-01-20 10:00:00.0,Intermediário
"2,5244",2010-01-20 10:30:00.0,Intermediário
"2,52687",2010-01-20 11:00:00.0,Intermediário
"2,53181",2010-01-20 11:31:00.0,Intermediário
"2,52531",2010-01-20 12:00:00.0,Intermediário
"2,52224",2010-01-20 12:30:00.0,Intermediário
