cotacaoVenda,dataHoraCotacao,tipoBoletim
"2,81348",2010-01-04 09:23:00.0,Abertura
"2,80473",2010-01-04 09:30:00.0,Intermediário
"2,80513",2010-01-04 10:00:00.0,Intermediário
"2,79447",2010-01-04 10:30:00.0,Intermediário
"2,79482",2010-01-04 11:00:00.0,Intermediário
"2,79891",2010-01-04 11:30:00.0,Intermediário
"2,7968",2010-01-04 12:00:00.0,Intermediário
"2,7978",2010-01-04 12:30:00.0,Intermediário
"2,79265",2010-01-04 13:00:00.0,Intermediário
"2,78852",2010-01-04 13:30:00.0,Intermediário
"2,78108",2010-01-04 14:00:00.0,Intermediário
"2,7788",2010-01-04 14:30:00.0,Intermediário
"2,77438",2010-01-04 15:00:00.0,Intermediário
"2,77765",2010-01-04 15:30:00.0,Intermediário
"2,77741",2010-01-04 16:00:00.0,Intermediário
"2,77185",2010-01-04 16:30:00.0,Fechamento Interbancário
"2,7783",2010-01-04 17:37:00.0,Fechamento
"2,76251",2010-01-05 09:22:00.0,Abertura
"2,75835",2010-01-05 09:30:00.0,Intermediário
"2,75904",2010-01-05 10:00:00.0,Intermediário
"2,75949",2010-01-05 10:30:00.0,Intermediário
"2,75398",2010-01-05 11:00:00.0,Intermediário
"2,75744",2010-01-05 11:30:00.0,Intermediário
"2,7614",2010-01-05 12:00:00.0,Intermediário
"2,76885",2010-01-05 12:30:00.0,Intermediário
"2,76988",2010-01-05 13:00:00.0,Intermediário
"2,77196",2010-01-05 13:30:00.0,Intermediário
"2,76754",2010-01-05 14:00:00.0,Intermediário
"2,76469",2010-01-05 14:30:00.0,Intermediário
"2,7699",2010-01-05 15:00:00.0,Intermediário
"2,76731",2010-01-05 15:30:00.0,Intermediário
"2,76744",2010-01-05 16:00:00.0,Intermediário
"2,76558",2010-01-05 16:30:00.0,Fechamento Interbancário
"2,75232",2010-01-05 17:35:00.0,Fechamento
"2,78261",2010-01-06 09:22:00.0,Abertura
"2,77899",2010-01-06 09:30:00.0,Intermediário
"2,77479",2010-01-06 10:00:00.0,Intermediário
"2,7768",2010-01-06 10:30:00.0,Intermediário
"2,76644",2010-01-06 11:00:00.0,Intermediário
"2,77309",2010-01-06 11:30:00.0,Intermediário
"2,77076",2010-01-06 12:00:00.0,Intermediário
